Image, Text
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.047,0.6609,0.624,0.075",
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.672,0.6039,0.12,0.0818",Continuation of Neumes
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.122,0.7164,0.528,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_277@0.121,0.7629,0.559,0.0758",
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.364,0.057,0.435,0.057",Page 278
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.294,0.1028,0.597,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.606,0.1358,0.282,0.0398",Continuation of Neumes
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.362,0.1785,0.531,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.349,0.2311,0.484,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.282,0.2821,0.622,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.354,0.3413,0.502,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.351,0.4029,0.431,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.289,0.4689,0.626,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.349,0.5394,0.539,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.353,0.5836,0.539,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.282,0.6407,0.615,0.0818",
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.35,0.7134,0.515,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_278@0.347,0.7712,0.547,0.066",
"",Page 279
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
