Image,Text
"urn:cite:ecod:einsiedeln121img.sbe_0121_006@0.3353,0.7839,0.5946,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.2432,0.084,0.5005,0.0563",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.044,0.1035,0.2222,0.162", "giant letter G"
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.046,0.129,0.6396,0.0728",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.2513,0.1913,0.4434,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1361,0.2513,0.5796,0.0653",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1291,0.3098,0.5836,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1261,0.3623,0.5666,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1451,0.4276,0.5425,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1351,0.4914,0.5385,0.0668",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1211,0.5559,0.2312,0.06",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.0611,0.6137,0.7047,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.0641,0.6804,0.6366,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1211,0.7382,0.6046,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_007@0.1271,0.7869,0.3393,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2513,0.0585,0.6657,0.084",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.3393,0.141,0.5856,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.3283,0.2018,0.5285,0.0495",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2482,0.2476,0.5355,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2903,0.3158,0.5946,0.0555",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.3123,0.3668,0.6156,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2192,0.4269,0.7407,0.081",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2863,0.5064,0.6086,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.3193,0.5566,0.6206,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.8709,0.5176,0.0891,0.0833", "numes only from previous line"
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2462,0.6182,0.6456,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.3113,0.6864,0.6356,0.0525",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.8759,0.6542,0.0801,0.066", "numes only from previous line"
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.3063,0.7367,0.6016,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_008@0.2583,0.7944,0.5966,0.0593",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.1151,0.0623,0.6356,0.081",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.1321,0.1433,0.4054,0.0615",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.041,0.1935,0.6046,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.1131,0.2498,0.6577,0.063",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.1251,0.3158,0.5155,0.054",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.046,0.3668,0.6637,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.1161,0.4321,0.6066,0.069",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.1211,0.5004,0.4244,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.2492,0.5724,0.4575,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.0531,0.5476,0.3023,0.2213", "giant letter R"
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.045,0.6227,0.6386,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.3083,0.6902,0.3654,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.1231,0.7464,0.5606,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_009@0.1171,0.8005,0.5516,0.057",
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.2643,0.0578,0.7037,0.0833",
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.2472,0.1343,0.7197,0.0683",
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.3463,0.1958,0.6256,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.3443,0.2491,0.6126,0.0645",
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.2653,0.3001,0.7057,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.3383,0.3653,0.6366,0.066",
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.3343,0.4314,0.6166,0.0578",
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.3233,0.4839,0.5355,0.0705",
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.2503,0.5491,0.6627,0.0675",
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.3213,0.6084,0.6016,0.0713",
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.3273,0.6737,0.6406,0.0638",
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.9039,0.5146,0.0721,0.2048", "numes only from previous line"
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.2773,0.7337,0.6707,0.0608",
"urn:cite:ecod:einsiedeln121img.sbe_0121_010@0.3293,0.7914,0.5405,0.0585",
