IMAGE URN, notes
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.309,0.5191,0.618,0.048",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.365,0.5626,0.513,0.048",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.3,0.6077,0.694,0.048",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.303,0.6489,0.634,0.0533",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.36,0.6842,0.541,0.0623",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.311,0.7374,0.63,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.305,0.7764,0.63,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_418@0.353,0.8192,0.501,0.051",
"urn:cite:ecod:einsiedeln121img.sbe_0121_419@0.041,0.0683,0.601,0.0533",page 419
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
