FolioUrn,Sequence,Label
urn:cite:musicmss:sbe0121.498,498,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 498."
urn:cite:musicmss:sbe0121.499,499,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 499."
urn:cite:musicmss:sbe0121.500,500,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 500."
urn:cite:musicmss:sbe0121.501,501,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 501."
urn:cite:musicmss:sbe0121.502,502,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 502."
urn:cite:musicmss:sbe0121.503,503,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 503."
urn:cite:musicmss:sbe0121.504,504,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 504."
urn:cite:musicmss:sbe0121.505,505,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 505."
urn:cite:musicmss:sbe0121.506,506,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 506."
urn:cite:musicmss:sbe0121.507,507,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 507."
urn:cite:musicmss:sbe0121.508,508,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 508."
urn:cite:musicmss:sbe0121.509,509,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 509."
urn:cite:musicmss:sbe0121.510,510,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 510."
urn:cite:musicmss:sbe0121.511,511,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 511."
urn:cite:musicmss:sbe0121.512,512,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 512."
urn:cite:musicmss:sbe0121.513,513,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 513."
urn:cite:musicmss:sbe0121.514,514,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 514."
urn:cite:musicmss:sbe0121.515,515,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 515."
urn:cite:musicmss:sbe0121.516,516,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 516."
urn:cite:musicmss:sbe0121.517,517,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 517."
urn:cite:musicmss:sbe0121.518,518,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 518."
urn:cite:musicmss:sbe0121.519,519,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 519."
urn:cite:musicmss:sbe0121.520,520,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 520."
urn:cite:musicmss:sbe0121.521,521,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 521."
urn:cite:musicmss:sbe0121.522,522,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 522."
urn:cite:musicmss:sbe0121.523,523,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 523."
urn:cite:musicmss:sbe0121.524,524,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 524."
urn:cite:musicmss:sbe0121.525,525,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 525."
urn:cite:musicmss:sbe0121.526,526,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 526."
urn:cite:musicmss:sbe0121.527,527,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 527."
urn:cite:musicmss:sbe0121.528,528,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 528."
urn:cite:musicmss:sbe0121.529,529,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 529."
urn:cite:musicmss:sbe0121.530,530,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 530."
urn:cite:musicmss:sbe0121.531,531,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 531."
urn:cite:musicmss:sbe0121.532,532,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 532."
urn:cite:musicmss:sbe0121.533,533,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 533."
urn:cite:musicmss:sbe0121.534,534,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 534."
urn:cite:musicmss:sbe0121.535,535,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 535."
urn:cite:musicmss:sbe0121.536,536,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 536."
urn:cite:musicmss:sbe0121.537,537,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 537."
urn:cite:musicmss:sbe0121.538,538,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 538."
urn:cite:musicmss:sbe0121.539,539,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 539."
urn:cite:musicmss:sbe0121.540,540,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 540."
urn:cite:musicmss:sbe0121.541,541,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 541."
urn:cite:musicmss:sbe0121.542,542,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 542."
urn:cite:musicmss:sbe0121.543,543,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 543."
urn:cite:musicmss:sbe0121.544,544,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 544."
urn:cite:musicmss:sbe0121.545,545,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 545."
urn:cite:musicmss:sbe0121.546,546,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 546."
urn:cite:musicmss:sbe0121.547,547,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 547."
urn:cite:musicmss:sbe0121.548,548,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 548."
urn:cite:musicmss:sbe0121.549,549,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 549."
urn:cite:musicmss:sbe0121.550,550,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 550."
urn:cite:musicmss:sbe0121.551,551,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 551."
urn:cite:musicmss:sbe0121.552,552,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 552."
urn:cite:musicmss:sbe0121.553,553,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 553."
urn:cite:musicmss:sbe0121.554,554,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 554."
urn:cite:musicmss:sbe0121.555,555,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 555."
urn:cite:musicmss:sbe0121.556,556,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 556."
urn:cite:musicmss:sbe0121.557,557,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 557."
urn:cite:musicmss:sbe0121.558,558,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 558."
urn:cite:musicmss:sbe0121.559,559,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 559."
urn:cite:musicmss:sbe0121.560,560,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 560."
urn:cite:musicmss:sbe0121.561,561,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 561."
urn:cite:musicmss:sbe0121.562,562,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 562."
urn:cite:musicmss:sbe0121.563,563,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 563."
urn:cite:musicmss:sbe0121.564,564,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 564."
urn:cite:musicmss:sbe0121.565,565,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 565."
urn:cite:musicmss:sbe0121.566,566,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 566."
urn:cite:musicmss:sbe0121.567,567,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 567."
urn:cite:musicmss:sbe0121.568,568,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 568."
urn:cite:musicmss:sbe0121.569,569,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 569."
urn:cite:musicmss:sbe0121.570,570,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 570."
urn:cite:musicmss:sbe0121.571,571,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 571."
urn:cite:musicmss:sbe0121.572,572,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 572."
urn:cite:musicmss:sbe0121.573,573,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 573."
urn:cite:musicmss:sbe0121.574,574,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 574."
urn:cite:musicmss:sbe0121.575,575,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 575."
urn:cite:musicmss:sbe0121.576,576,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 576."
urn:cite:musicmss:sbe0121.577,577,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 577."
urn:cite:musicmss:sbe0121.578,578,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 578."
urn:cite:musicmss:sbe0121.579,579,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 579."
urn:cite:musicmss:sbe0121.580,580,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 580."
urn:cite:musicmss:sbe0121.581,581,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 581."
urn:cite:musicmss:sbe0121.582,582,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 582."
urn:cite:musicmss:sbe0121.583,583,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 583."
urn:cite:musicmss:sbe0121.584,584,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 584."
urn:cite:musicmss:sbe0121.585,585,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 585."
urn:cite:musicmss:sbe0121.586,586,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 586."
urn:cite:musicmss:sbe0121.587,587,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 587."
urn:cite:musicmss:sbe0121.588,588,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 588."
urn:cite:musicmss:sbe0121.589,589,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 589."
urn:cite:musicmss:sbe0121.590,590,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 590."
urn:cite:musicmss:sbe0121.591,591,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 591."
urn:cite:musicmss:sbe0121.592,592,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 592."
urn:cite:musicmss:sbe0121.593,593,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 593."
urn:cite:musicmss:sbe0121.594,594,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 594."
urn:cite:musicmss:sbe0121.595,595,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 595."
urn:cite:musicmss:sbe0121.596,596,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 596."
urn:cite:musicmss:sbe0121.597,597,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 597."
urn:cite:musicmss:sbe0121.598,598,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 598."
urn:cite:musicmss:sbe0121.599,599,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 599."
urn:cite:musicmss:sbe0121.600,600,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 600."
