FolioUrn,Sequence,Label
urn:cite:musicmss:sbe0121.135,135,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 135."
urn:cite:musicmss:sbe0121.136,136,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 136."
urn:cite:musicmss:sbe0121.137,137,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 137."
urn:cite:musicmss:sbe0121.138,138,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 138."
urn:cite:musicmss:sbe0121.139,139,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 139."
urn:cite:musicmss:sbe0121.140,140,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 140."
urn:cite:musicmss:sbe0121.141,141,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 141."
urn:cite:musicmss:sbe0121.142,142,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 142."
urn:cite:musicmss:sbe0121.143,143,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 143."
urn:cite:musicmss:sbe0121.144,144,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 144."
urn:cite:musicmss:sbe0121.145,145,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 145."
urn:cite:musicmss:sbe0121.146,146,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 146."
urn:cite:musicmss:sbe0121.147,147,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 147."
urn:cite:musicmss:sbe0121.148,148,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 148."
urn:cite:musicmss:sbe0121.149,149,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 149."
urn:cite:musicmss:sbe0121.150,150,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 150."
urn:cite:musicmss:sbe0121.151,151,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 151."
urn:cite:musicmss:sbe0121.152,152,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 152."
urn:cite:musicmss:sbe0121.153,153,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 153."
urn:cite:musicmss:sbe0121.154,154,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 154."
urn:cite:musicmss:sbe0121.155,155,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 155."
urn:cite:musicmss:sbe0121.156,156,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 156."
urn:cite:musicmss:sbe0121.157,157,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 157."
urn:cite:musicmss:sbe0121.158,158,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 158."
urn:cite:musicmss:sbe0121.159,159,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 159."
urn:cite:musicmss:sbe0121.160,160,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 160."
urn:cite:musicmss:sbe0121.161,161,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 161."
urn:cite:musicmss:sbe0121.162,162,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 162."
urn:cite:musicmss:sbe0121.163,163,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 163."
urn:cite:musicmss:sbe0121.164,164,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 164."
urn:cite:musicmss:sbe0121.165,165,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 165."
urn:cite:musicmss:sbe0121.166,166,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 166."
urn:cite:musicmss:sbe0121.167,167,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 167."
urn:cite:musicmss:sbe0121.168,168,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 168."
urn:cite:musicmss:sbe0121.169,169,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 169."
urn:cite:musicmss:sbe0121.170,170,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 170."
urn:cite:musicmss:sbe0121.171,171,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 171."
urn:cite:musicmss:sbe0121.172,172,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 172."
urn:cite:musicmss:sbe0121.173,173,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 173."
urn:cite:musicmss:sbe0121.174,174,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 174."
urn:cite:musicmss:sbe0121.175,175,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 175."
urn:cite:musicmss:sbe0121.176,176,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 176."
urn:cite:musicmss:sbe0121.177,177,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 177."
urn:cite:musicmss:sbe0121.178,178,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 178."
urn:cite:musicmss:sbe0121.179,179,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 179."
urn:cite:musicmss:sbe0121.180,180,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 180."
urn:cite:musicmss:sbe0121.181,181,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 181."
urn:cite:musicmss:sbe0121.182,182,"Einsiedeln, Stiftsbibliothek, Codex 121 (1151), page 182."
