FolioUrn,Sequence,Label,DefaultImage
urn:cite:musicmss:sg339.76,76,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 76.",urn:cite:musicmss:sg339.76
urn:cite:musicmss:sg339.77,77,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 77.",urn:cite:musicmss:sg339.77
urn:cite:musicmss:sg339.78,78,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 78.",urn:cite:musicmss:sg339.78
urn:cite:musicmss:sg339.79,79,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 79.",urn:cite:musicmss:sg339.79
urn:cite:musicmss:sg339.80,80,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 80.",urn:cite:musicmss:sg339.80
urn:cite:musicmss:sg339.81,81,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 81.",urn:cite:musicmss:sg339.81
urn:cite:musicmss:sg339.82,82,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 82.",urn:cite:musicmss:sg339.82
urn:cite:musicmss:sg339.83,83,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 83.",urn:cite:musicmss:sg339.83
urn:cite:musicmss:sg339.84,84,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 84.",urn:cite:musicmss:sg339.84
urn:cite:musicmss:sg339.85,85,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 85.",urn:cite:musicmss:sg339.85
urn:cite:musicmss:sg339.86,86,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 86.",urn:cite:musicmss:sg339.86
urn:cite:musicmss:sg339.87,87,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 87.",urn:cite:musicmss:sg339.87
urn:cite:musicmss:sg339.88,88,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 88.",urn:cite:musicmss:sg339.88
urn:cite:musicmss:sg339.89,89,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 89.",urn:cite:musicmss:sg339.89
urn:cite:musicmss:sg339.90,90,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 90.",urn:cite:musicmss:sg339.90
urn:cite:musicmss:sg339.91,91,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 91.",urn:cite:musicmss:sg339.91
urn:cite:musicmss:sg339.92,92,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 92.",urn:cite:musicmss:sg339.92
urn:cite:musicmss:sg339.93,93,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 93.",urn:cite:musicmss:sg339.93
